WallStreetBets Sentiment Summary
Report generated on: 2025-08-30 17:49:19

--- TICKERS WITH UPCOMING EARNINGS (Sorted by Score) ---
ticker,Mentions,Sentiment,Score,Stock Price,Top Play,Top Play Mentions,Options Chatter,Option Price,Breakeven Price,Breakeven % Change,Next Earnings,Earnings Time
NIO,10,0.1578,1.58,6.38,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,AM
NAT,2,0.5648,1.13,3.11,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-01,PM
DLTR,1,0.7633,0.76,109.17,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,AM
ZS,3,0.2343,0.7,277.05,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,PM
PD,1,0.6249,0.62,16.74,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
CRM,3,0.0803,0.24,256.25,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
DOCU,1,0.0,0.0,76.66,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
CPRT,1,0.0,0.0,48.81,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
AVGO,4,-0.009,-0.04,297.39,AVGO 300C 9/19,1.0,1.0,13.05,313.05,5.27,2025-09-04,PM


--- OTHER TICKERS (Sorted by Score) ---
ticker,Mentions,Sentiment,Score,Stock Price,Top Play,Top Play Mentions,Options Chatter,Option Price,Breakeven Price,Breakeven % Change,Next Earnings,Earnings Time
HE,5,0.8039,4.02,12.96,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
GE,4,0.7821,3.13,275.2,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SAVE,7,0.3656,2.56,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
LLY,7,0.2825,1.98,732.58,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TSLA,2,0.9723,1.94,333.87,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
VFC,1,0.9956,1.0,15.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AR,1,0.9844,0.98,31.92,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
GOOG,4,0.2326,0.93,213.53,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
IP,5,0.1634,0.82,49.68,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UI,4,0.1952,0.78,528.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
IQ,1,0.7264,0.73,2.65,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
WOW,3,0.2264,0.68,5.09,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NE,1,0.6597,0.66,28.82,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UNH,5,0.1186,0.59,309.87,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MG,1,0.5782,0.58,9.56,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AM,2,0.2784,0.56,17.79,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CAR,3,0.1664,0.5,158.23,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TDOC,1,0.4926,0.49,7.73,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
WEN,1,0.4215,0.42,10.61,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
BBW,1,0.4215,0.42,60.81,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
PSTG,1,0.4144,0.41,77.61,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CELH,1,0.4144,0.41,62.88,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MS,2,0.1902,0.38,150.48,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
LULU,13,0.0282,0.37,202.2,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MDB,1,0.3612,0.36,315.61,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AT,1,0.3182,0.32,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
