WallStreetBets Sentiment Summary
Report generated on: 2025-08-30 17:56:47

--- Data Collection Stats ---
Threads Analyzed: 26
Comments Analyzed: 2998
Images Analyzed (OCR): 18

--- TICKERS WITH UPCOMING EARNINGS (Sorted by Score) ---
ticker,Mentions,Sentiment,Score,Stock Price,Top Play,Top Play Mentions,Options Chatter,Option Price,Breakeven Price,Breakeven % Change,Next Earnings,Earnings Time
AVGO,5,0.2745,1.37,297.39,AVGO 300C 9/19,1.0,1.0,13.05,313.05,5.27,2025-09-04,PM
NAT,2,0.5648,1.13,3.11,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-01,PM
ZS,3,0.2343,0.7,277.05,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,PM
PD,1,0.6249,0.62,16.74,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
NIO,11,0.0351,0.39,6.38,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,AM
CRM,3,0.1204,0.36,256.25,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
DLTR,2,0.0332,0.07,109.17,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,AM
BRC,1,0.0,0.0,78.08,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,AM
ABM,1,0.0,0.0,49.17,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-05,AM
CPRT,2,0.0,0.0,48.81,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
CPB,1,0.0,0.0,31.93,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,AM
CRMT,1,0.0,0.0,44.81,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,AM
DAVA,1,0.0,0.0,14.68,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-01,PM
HPE,1,0.0,0.0,22.57,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,PM
GWRE,1,0.0,0.0,217.02,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
FLWS,1,0.0,0.0,5.6,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,AM
DOCU,1,0.0,0.0,76.66,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,PM
HQY,1,0.0,0.0,89.33,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-02,PM
REVG,1,0.0,0.0,53.21,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,AM
SCVL,1,0.0,0.0,20.9,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-03,N/A
TTC,1,0.0,0.0,81.06,N/A,0.0,0.0,0.0,0.0,0.0,2025-09-04,AM


--- OTHER TICKERS (Sorted by Score) ---
ticker,Mentions,Sentiment,Score,Stock Price,Top Play,Top Play Mentions,Options Chatter,Option Price,Breakeven Price,Breakeven % Change,Next Earnings,Earnings Time
RH,14,0.7152,10.01,225.67,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UNH,7,0.7831,5.48,309.87,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NVDA,10,0.4751,4.75,174.18,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HE,5,0.799,3.99,12.96,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
GE,5,0.7846,3.92,275.2,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
GOOG,5,0.7614,3.81,213.53,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AMD,5,0.6587,3.29,162.63,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SAVE,7,0.3448,2.41,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
LLY,7,0.2865,2.01,732.58,LLY 730P 10/17,1.0,3.0,27.0,703.0,-4.04,N/A,N/A
TSLA,2,0.9725,1.95,333.87,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
BABA,4,0.4684,1.87,135.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MSTR,2,0.8067,1.61,334.41,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CVNA,2,0.8069,1.61,371.92,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CO,2,0.7725,1.54,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
ET,3,0.469,1.41,17.72,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
VFC,1,0.9956,1.0,15.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AR,1,0.9865,0.99,31.92,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SNAP,1,0.9865,0.99,7.14,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SCM,1,0.8225,0.82,14.53,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
VAL,1,0.8225,0.82,49.67,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
SA,1,0.8225,0.82,17.44,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
JAN,1,0.8225,0.82,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
IP,5,0.1634,0.82,49.68,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HOME,1,0.8091,0.81,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
HD,1,0.8091,0.81,406.77,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UBER,1,0.8091,0.81,93.75,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TGT,1,0.8091,0.81,95.98,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NEW,1,0.8091,0.81,0.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MCD,1,0.8091,0.81,313.54,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NKE,1,0.8091,0.81,77.37,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
LADR,1,0.8091,0.81,11.62,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
LYFT,1,0.8091,0.81,16.22,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
INTC,1,0.8091,0.81,24.35,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
DRI,1,0.8091,0.81,206.94,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CAKE,1,0.8091,0.81,61.46,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AVB,1,0.8091,0.81,195.85,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AMZN,1,0.8091,0.81,229.0,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AAPL,1,0.8091,0.81,232.14,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TR,1,0.8091,0.81,40.21,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
UI,4,0.1931,0.77,528.13,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
IQ,1,0.7264,0.73,2.65,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
BEP,1,0.7003,0.7,25.38,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
WOW,3,0.2264,0.68,5.09,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
NE,1,0.6597,0.66,28.82,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
MG,1,0.5782,0.58,9.56,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
AM,2,0.2828,0.57,17.79,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
CAR,3,0.1664,0.5,158.23,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
TDOC,1,0.4926,0.49,7.73,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
WEN,1,0.4215,0.42,10.61,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A
